HALF,PROGRAM,NIGHT,OFFSET_KMS,COMPONENT,N_LABELS_FIT,N_TRAIN_PAIRS,N_CONNECTED_COMPONENTS
A,BRIGHT,20220611,3.2285626861045107,0,206,117550,1
A,BRIGHT,20220612,1.0814549422806459,0,206,117550,1
B,BRIGHT,20210514,0.861516081399223,0,206,118308,1
B,BRIGHT,20210515,0.5838602764739408,0,206,118308,1
B,BRIGHT,20210516,0.6477968775858659,0,206,118308,1
B,BRIGHT,20210517,0.5607683547215785,0,206,118308,1
B,BRIGHT,20210518,-0.417875882889996,0,206,118308,1
B,BRIGHT,20210519,-0.20265959659807004,0,206,118308,1
B,BRIGHT,20210521,-0.07288663979182924,0,206,118308,1
B,BRIGHT,20210522,-0.07964487630067098,0,206,118308,1
B,BRIGHT,20210528,0.5140081576083633,0,206,118308,1
B,BRIGHT,20210531,0.6978127072089377,0,206,118308,1
B,BRIGHT,20210602,0.334278933127552,0,206,118308,1
B,BRIGHT,20210603,0.27592277222415473,0,206,118308,1
B,BRIGHT,20210604,0.5041686756682121,0,206,118308,1
B,BRIGHT,20210605,0.49457400096994614,0,206,118308,1
B,BRIGHT,20210606,0.22375876380179965,0,206,118308,1
B,BRIGHT,20210607,1.2366961514024908,0,206,118308,1
B,BRIGHT,20210609,0.790899989638434,0,206,118308,1
B,BRIGHT,20210610,0.002312773416217509,0,206,118308,1
B,BRIGHT,20210613,-0.030487263964688538,0,206,118308,1
B,BRIGHT,20210614,3.4978439303653515,0,206,118308,1
B,BRIGHT,20210615,-0.15251336300052326,0,206,118308,1
B,BRIGHT,20210616,3.5763887288134115,0,206,118308,1
B,BRIGHT,20210617,0.09795017549975082,0,206,118308,1
B,BRIGHT,20210618,0.151219424801396,0,206,118308,1
B,BRIGHT,20210619,0.325095578027341,0,206,118308,1
B,BRIGHT,20210620,-0.0018641892836637752,0,206,118308,1
B,BRIGHT,20210705,0.9556346908312033,0,206,118308,1
B,BRIGHT,20210706,1.002564348586921,0,206,118308,1
B,BRIGHT,20210708,1.3611377700691478,0,206,118308,1
B,BRIGHT,20210709,0.6923188088831813,0,206,118308,1
B,BRIGHT,20210921,-0.469442219911719,0,206,118308,1
B,BRIGHT,20210923,-0.045770755093096055,0,206,118308,1
B,BRIGHT,20210926,0.505251157051559,0,206,118308,1
B,BRIGHT,20210927,0.10765612572929995,0,206,118308,1
B,BRIGHT,20210928,0.8143300705343176,0,206,118308,1
B,BRIGHT,20210930,0.26834932061921923,0,206,118308,1
B,BRIGHT,20211001,0.49661234736557586,0,206,118308,1
B,BRIGHT,20211003,0.24647546001358644,0,206,118308,1
B,BRIGHT,20211006,1.0513623037487505,0,206,118308,1
B,BRIGHT,20211009,0.6073768508811941,0,206,118308,1
B,BRIGHT,20211014,-0.1663964577289932,0,206,118308,1
B,BRIGHT,20211015,0.341117908889994,0,206,118308,1
B,BRIGHT,20211016,-0.8709250263462507,0,206,118308,1
B,BRIGHT,20211019,-0.8643964479646445,0,206,118308,1
B,BRIGHT,20211020,-0.3950561861988773,0,206,118308,1
B,BRIGHT,20211021,-0.38229243680984915,0,206,118308,1
B,BRIGHT,20211022,-0.3576764811669872,0,206,118308,1
B,BRIGHT,20211023,-0.43439376109433214,0,206,118308,1
B,BRIGHT,20211026,0.416465327891514,0,206,118308,1
B,BRIGHT,20211029,-1.0396119601846978,0,206,118308,1
B,BRIGHT,20211031,-2.3824637358728973,0,206,118308,1
B,BRIGHT,20211103,-3.190708599003605,0,206,118308,1
B,BRIGHT,20211105,-1.6983599235909765,0,206,118308,1
B,BRIGHT,20211106,1.0055366677090956,0,206,118308,1
B,BRIGHT,20211107,-0.7711438134173788,0,206,118308,1
B,BRIGHT,20211110,-0.13308552780248595,0,206,118308,1
B,BRIGHT,20211111,0.37853645062119173,0,206,118308,1
B,BRIGHT,20211112,-0.00896034909216293,0,206,118308,1
